Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-12-14 14:57:18.125 -0600,"Success",0:00:04,0,0,0,"20171214_145718.125/LogFile.txt","","",1
2017-12-14 16:01:07.270 -0600,"Running",0:00:00,0,0,0,"20171214_160107.270/LogFile.txt","","",0
2017-12-14 16:01:46.050 -0600,"Running",0:00:00,0,0,0,"20171214_160146.050/LogFile.txt","","",0
2017-12-14 16:07:06.992 -0600,"Running",0:00:00,0,0,0,"20171214_160706.992/LogFile.txt","","",0
2017-12-14 16:08:04.332 -0600,"Failure",0:00:06,1,0,0,"20171214_160804.332/LogFile.txt","","STInvalidBoolean -- Value 'ExistInsurance' is not TRUE, FALSE, YES, NO, ON, OFF or empty",0
2017-12-14 16:41:25.725 -0600,"Running",0:00:00,0,0,0,"20171214_164125.725/LogFile.txt","","",0
2017-12-14 16:42:00.984 -0600,"Running",0:00:00,0,0,0,"20171214_164200.984/LogFile.txt","","",0
2017-12-14 16:42:34.945 -0600,"Success",0:00:42,0,0,0,"20171214_164234.945/LogFile.txt","","",1
2017-12-14 16:44:38.952 -0600,"Success",0:00:41,0,0,0,"20171214_164438.952/LogFile.txt","","",1
2018-01-30 10:06:06.873 -0600,"Running",0:00:00,0,0,0,"20180130_100606.873/LogFile.txt","","",0
2018-01-30 10:06:43.504 -0600,"Running",0:00:00,0,0,0,"20180130_100643.504/LogFile.txt","","",0
2018-01-30 10:42:47.781 -0600,"Running",0:00:00,0,0,0,"20180130_104247.781/LogFile.txt","","",0
2018-01-30 10:43:44.920 -0600,"Running",0:00:00,0,0,0,"20180130_104344.920/LogFile.txt","","",0
2018-01-30 10:50:48.586 -0600,"Running",0:00:00,0,0,0,"20180130_105048.586/LogFile.txt","","",0
2018-01-30 10:51:52.081 -0600,"Running",0:00:00,0,0,0,"20180130_105152.081/LogFile.txt","","",0
2018-01-30 10:53:03.086 -0600,"Running",0:00:00,0,0,0,"20180130_105303.086/LogFile.txt","","",0
2018-01-30 10:54:41.866 -0600,"Success",0:00:27,0,0,0,"20180130_105441.866/LogFile.txt","","",1
2018-01-30 10:57:33.661 -0600,"Success",0:00:27,0,0,0,"20180130_105733.661/LogFile.txt","","",1
2018-01-30 10:59:44.772 -0600,"Running",0:00:00,0,0,0,"20180130_105944.772/LogFile.txt","","",0
2018-01-30 11:28:41.560 -0600,"Success",0:00:27,0,0,0,"20180130_112841.560/LogFile.txt","","",1
2018-01-30 14:08:44.522 -0600,"Running",0:00:00,0,0,0,"20180130_140844.522/LogFile.txt","","",0
2018-01-30 14:16:34.365 -0600,"Success",0:00:30,0,0,0,"20180130_141634.365/LogFile.txt","","",1
2018-01-30 14:19:09.394 -0600,"Success",0:00:33,0,0,0,"20180130_141909.394/LogFile.txt","","",1
