Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-02-07 14:02:13.879 -0600,"Failure",0:00:00,1,0,0,"20180207_140213.879/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Handlers'.",0
2018-02-07 14:02:27.163 -0600,"Failure",0:00:00,1,0,0,"20180207_140227.163/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'First'.",0
2018-02-07 14:02:45.584 -0600,"Failure",0:00:00,1,0,0,"20180207_140245.584/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Second'.",0
2018-02-07 14:02:53.707 -0600,"Failure",0:00:00,1,0,1,"20180207_140253.707/LogFile.txt","","No Remote Connection -- imagefound Error - Remote Connection Unavailable",0
2018-02-07 14:03:25.200 -0600,"Failure",0:00:00,1,0,1,"20180207_140325.200/LogFile.txt","","No Remote Connection -- imagefound Error - Remote Connection Unavailable",0
2018-02-07 14:04:03.230 -0600,"Success",0:00:10,0,0,0,"20180207_140403.230/LogFile.txt","","",1
2018-02-07 14:05:07.598 -0600,"Failure",0:00:00,1,0,1,"20180207_140507.598/LogFile.txt","","No Remote Connection -- imagefound Error - Remote Connection Unavailable",0
2018-02-07 14:05:34.221 -0600,"Failure",0:00:00,1,0,1,"20180207_140534.221/LogFile.txt","","No Remote Connection -- imagefound Error - Remote Connection Unavailable",0
2018-02-07 14:05:50.213 -0600,"Success",0:00:09,0,0,0,"20180207_140550.213/LogFile.txt","","",1
2018-02-07 14:06:33.198 -0600,"Failure",0:00:00,1,0,0,"20180207_140633.198/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'First'.",0
2018-02-07 14:12:04.165 -0600,"Failure",0:00:00,1,0,0,"20180207_141204.165/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Handlers'.",0
2018-02-07 14:12:51.535 -0600,"Failure",0:00:00,1,0,0,"20180207_141251.535/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Handlers'.",0
2018-02-07 14:12:59.136 -0600,"Running",0:00:00,0,0,0,"20180207_141259.136/LogFile.txt","","",0
2018-02-07 14:18:33.434 -0600,"Running",0:00:00,0,0,0,"20180207_141833.434/LogFile.txt","","",0
2018-02-07 14:40:46.055 -0600,"Running",0:00:00,0,0,0,"20180207_144046.055/LogFile.txt","","",0
2018-02-08 09:13:50.569 -0600,"Running",0:00:00,0,0,0,"20180208_091350.569/LogFile.txt","","",0
2018-02-08 09:14:15.648 -0600,"Success",0:00:58,0,0,0,"20180208_091415.648/LogFile.txt","","",1
2018-02-08 09:17:29.360 -0600,"Success",0:00:42,0,0,0,"20180208_091729.360/LogFile.txt","","",1
2018-02-08 09:35:02.970 -0600,"Running",0:00:00,0,0,0,"20180208_093502.970/LogFile.txt","","",0
2018-02-08 09:36:38.664 -0600,"Running",0:00:00,0,0,0,"20180208_093638.664/LogFile.txt","","",0
2018-02-08 09:37:25.539 -0600,"Running",0:00:00,0,0,0,"20180208_093725.539/LogFile.txt","","",0
2018-02-08 09:41:26.810 -0600,"Running",0:00:00,0,0,0,"20180208_094126.810/LogFile.txt","","",0
2018-02-08 09:42:57.333 -0600,"Running",0:00:00,0,0,0,"20180208_094257.333/LogFile.txt","","",0
2018-02-08 09:49:01.159 -0600,"Success",0:00:29,0,0,0,"20180208_094901.159/LogFile.txt","","",1
2018-02-08 09:58:47.214 -0600,"Success",0:00:28,0,0,0,"20180208_095847.214/LogFile.txt","","",1
2018-02-08 10:02:33.141 -0600,"Success",0:00:26,0,0,0,"20180208_100233.141/LogFile.txt","","",1
2018-02-08 10:06:01.450 -0600,"Success",0:00:28,0,0,0,"20180208_100601.450/LogFile.txt","","",1
